# Moser, Kim & Mansour (1999), Phys. Fluids 11(4), 943-945
# Numerical method: Kim, Moin & Moser, 1987, J. Fluid Mech. vol 177, 133-166
# Downloaded from https://turbulence.oden.utexas.edu/data/MKM/chan395/profiles/chan395.means
#                 https://turbulence.oden.utexas.edu/data/MKM/chan395/profiles/chan395.reystress
#   (read from the bundle https://turbulence.oden.utexas.edu/data/MKM/chandata.tar.gz)
# Actual Re_tau = 392.24
# Closed channel, lower half (z/delta = 0..1). Reynolds stresses are
# REMAPPED to torChannel axes: reference R_vv (wall-normal) -> ww,
# reference R_ww (spanwise) -> vv, reference R_uv -> uw.
# Normalised by u_tau (stresses by u_tau^2).
z_delta,z_plus,U_plus,uu_plus,vv_plus,ww_plus,uw_plus
5.394600e-01,2.116000e+02,1.873400e+01,1.661000e+00,8.169000e-01,6.384300e-01,-4.399900e-01
5.503900e-01,2.158900e+02,1.879700e+01,1.626400e+00,7.993900e-01,6.271200e-01,-4.294900e-01
5.613800e-01,2.202000e+02,1.885900e+01,1.591000e+00,7.824100e-01,6.161300e-01,-4.191000e-01
5.724400e-01,2.245400e+02,1.891900e+01,1.555000e+00,7.658700e-01,6.054500e-01,-4.087600e-01
5.835700e-01,2.289000e+02,1.897800e+01,1.518400e+00,7.493100e-01,5.951200e-01,-3.985300e-01
5.947600e-01,2.332900e+02,1.903500e+01,1.480800e+00,7.325800e-01,5.852300e-01,-3.884300e-01
6.060100e-01,2.377000e+02,1.909200e+01,1.442500e+00,7.157200e-01,5.758900e-01,-3.783500e-01
6.173200e-01,2.421400e+02,1.914800e+01,1.403700e+00,6.986800e-01,5.671500e-01,-3.681000e-01
6.286800e-01,2.466000e+02,1.920200e+01,1.364700e+00,6.815900e-01,5.589600e-01,-3.576100e-01
6.401000e-01,2.510800e+02,1.925600e+01,1.326000e+00,6.649200e-01,5.512000e-01,-3.469500e-01
6.515800e-01,2.555800e+02,1.930800e+01,1.288100e+00,6.491600e-01,5.437200e-01,-3.362100e-01
6.631100e-01,2.601000e+02,1.935900e+01,1.251300e+00,6.342400e-01,5.364200e-01,-3.254400e-01
6.746900e-01,2.646400e+02,1.940800e+01,1.216200e+00,6.200100e-01,5.291900e-01,-3.146800e-01
6.863200e-01,2.692000e+02,1.945600e+01,1.182700e+00,6.066000e-01,5.219700e-01,-3.039300e-01
6.979900e-01,2.737800e+02,1.950300e+01,1.150000e+00,5.937700e-01,5.147300e-01,-2.931500e-01
7.097200e-01,2.783800e+02,1.954800e+01,1.117500e+00,5.810100e-01,5.075000e-01,-2.823100e-01
7.214800e-01,2.830000e+02,1.959300e+01,1.084300e+00,5.681500e-01,5.002900e-01,-2.713300e-01
7.332900e-01,2.876300e+02,1.963600e+01,1.050700e+00,5.554100e-01,4.931200e-01,-2.601900e-01
7.451300e-01,2.922700e+02,1.967800e+01,1.017300e+00,5.430400e-01,4.860500e-01,-2.489300e-01
7.570200e-01,2.969400e+02,1.971900e+01,9.847800e-01,5.311300e-01,4.792200e-01,-2.375300e-01
7.689400e-01,3.016100e+02,1.975800e+01,9.537700e-01,5.197100e-01,4.726800e-01,-2.260500e-01
7.809000e-01,3.063000e+02,1.979600e+01,9.245400e-01,5.088200e-01,4.664400e-01,-2.146200e-01
7.928900e-01,3.110100e+02,1.983200e+01,8.970600e-01,4.985300e-01,4.604700e-01,-2.032600e-01
8.049100e-01,3.157200e+02,1.986500e+01,8.711300e-01,4.888300e-01,4.547800e-01,-1.918800e-01
8.169600e-01,3.204500e+02,1.989700e+01,8.464500e-01,4.798200e-01,4.493200e-01,-1.804300e-01
8.290400e-01,3.251900e+02,1.992700e+01,8.229600e-01,4.716400e-01,4.441000e-01,-1.689800e-01
8.411400e-01,3.299300e+02,1.995500e+01,8.006200e-01,4.639200e-01,4.391500e-01,-1.575200e-01
8.532700e-01,3.346900e+02,1.998100e+01,7.792900e-01,4.561800e-01,4.345800e-01,-1.460100e-01
8.654200e-01,3.394600e+02,2.000400e+01,7.588900e-01,4.484200e-01,4.304400e-01,-1.344200e-01
8.775900e-01,3.442300e+02,2.002600e+01,7.393200e-01,4.407100e-01,4.267100e-01,-1.227200e-01
8.897800e-01,3.490100e+02,2.004600e+01,7.205100e-01,4.334500e-01,4.233900e-01,-1.109400e-01
9.019800e-01,3.538000e+02,2.006400e+01,7.026100e-01,4.270800e-01,4.204600e-01,-9.912000e-02
9.142000e-01,3.585900e+02,2.008000e+01,6.857600e-01,4.216900e-01,4.179600e-01,-8.730100e-02
9.264400e-01,3.633900e+02,2.009400e+01,6.702300e-01,4.170900e-01,4.159100e-01,-7.544100e-02
9.386800e-01,3.681900e+02,2.010600e+01,6.562000e-01,4.131900e-01,4.143100e-01,-6.345200e-02
9.509300e-01,3.730000e+02,2.011600e+01,6.438900e-01,4.098400e-01,4.131300e-01,-5.125200e-02
9.631900e-01,3.778100e+02,2.012300e+01,6.337500e-01,4.068900e-01,4.123400e-01,-3.877200e-02
9.754600e-01,3.826200e+02,2.012900e+01,6.262600e-01,4.043100e-01,4.118800e-01,-2.600100e-02
9.877300e-01,3.874300e+02,2.013200e+01,6.217400e-01,4.024700e-01,4.116600e-01,-1.303100e-02
1.000000e+00,3.922400e+02,2.013300e+01,6.202400e-01,4.017900e-01,4.116000e-01,0.000000e+00
